gene_name,ct_marker_evidence_blood,ct_marker_evidence_bone_marrow,ct_marker_evidence_heart,ct_marker_evidence_kidney,ct_marker_evidence_liver,ct_marker_evidence_lung,ct_marker_evidence_lymph_node
AHCYL1,,,,0.0,0.0,0.0,0.0
AHCYL2,0.0,,,0.0,0.0,0.0,
AHDC1,,0.0,,,,,0.0
AHI1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AHNAK,1.0,0.0,0.0,0.0,0.0,0.0,1.0
AHNAK2,,,0.0,0.0,,0.0,
AHR,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AHSA1,0.0,0.0,,,0.0,,0.0
AHSG,,,,,1.0,,
AHSP,0.0,1.0,,,0.0,0.0,
AICDA,,,,,,,1.0
AIDA,,,,0.0,0.0,,
AIF1,1.0,1.0,0.0,0.0,1.0,1.0,0.0
AIF1L,,,0.0,0.0,1.0,0.0,1.0
AIFM1,0.0,,,0.0,,0.0,0.0
AIFM2,0.0,,0.0,,0.0,0.0,
AIFM3,,0.0,,0.0,0.0,,
AIG1,0.0,0.0,0.0,0.0,0.0,,
AIM2,0.0,1.0,0.0,0.0,0.0,1.0,1.0
AIMP1,,0.0,,,,0.0,0.0
AIMP2,0.0,0.0,,0.0,,,0.0
AIP,0.0,,,,,0.0,
AIPL1,,,,,0.0,,
AIRE,0.0,,,,,,
AJ006995.3,,,1.0,,,,
AJ006998.2,,,,,0.0,,
AJAP1,,,,0.0,0.0,,
AJM1,0.0,,,,,,
AJUBA,,,,0.0,0.0,,
AK1,,0.0,,0.0,0.0,0.0,
AK2,0.0,,,,,,0.0
AK3,,,,0.0,0.0,,
AK4,,0.0,,0.0,0.0,0.0,
AK5,0.0,0.0,0.0,0.0,,0.0,0.0
AK6,,0.0,,,,0.0,
AK7,,,,0.0,0.0,0.0,1.0
AK8,1.0,1.0,,,,0.0,
AK9,,,,0.0,,0.0,
AKAP1,0.0,,,0.0,0.0,,
AKAP10,,,,0.0,,,
AKAP11,,,,,0.0,,
AKAP12,0.0,1.0,0.0,0.0,1.0,1.0,0.0
AKAP13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKAP14,,,,,,1.0,
AKAP17A,,,,0.0,,,
AKAP5,0.0,0.0,,0.0,,0.0,
